date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-09-18,82.69059162303665,0.026065336448598132,25.3,26.9,79,82,81,22,82,0.0
2015-09-19,80.58058638743455,0.035330420560747665,40.8,43.9,114,121,79,30,121,0.0
2015-09-20,90.68504188481675,0.03961091588785046,34.5,40.5,98,113,89,33,113,0.0
2015-09-21,95.67706806282723,0.032476752336448596,34.2,32.3,97,93,95,27,97,0.0
2015-09-22,59.881528795811526,0.02333756542056075,19.1,20.6,66,69,56,19,69,0.0
2015-09-23,99.9589162303665,0.025482476635514017,26.9,37.3,82,105,99,21,105,0.0
2015-09-24,91.5133769633508,0.026018705607476638,30.6,32.5,90,94,90,22,94,0.0
2015-09-25,66.52646073298429,0.0290728738317757,27.1,45.2,83,125,64,25,125,0.0
2015-09-26,57.16597905759163,0.03289641121495327,27.1,29.9,83,88,54,27,88,0.0
2015-09-27,55.77565968586388,0.0341553785046729,13.2,18.1,53,64,52,29,64,0.0
2015-09-28,72.62693717277487,0.03352589719626168,22.2,30.1,72,89,70,28,89,0.0
2015-09-29,62.91098429319372,0.032663266355140184,17.5,30.6,62,90,60,27,90,0.0
2015-09-30,73.4552722513089,0.035927261682242986,16.6,34.8,60,99,71,30,99,0.0
2015-10-01,46.98516753926702,0.03648680373831776,18.2,33.0,64,95,43,31,95,0.0
2015-10-02,72.75235078534031,0.028326817757009348,47.3,47.2,130,130,70,24,130,0.0
2015-10-03,79.85413612565445,0.02839676168224299,65.3,90.8,156,169,78,24,169,0.0
2015-10-04,74.03552879581152,0.04345776635514018,46.3,58.4,127,152,72,36,152,0.0
2015-10-05,70.03004188481677,0.02842007476635514,35.4,42.2,100,117,68,24,117,0.0
2015-10-06,84.83614659685864,0.028839728971962617,25.4,38.7,79,109,83,24,109,0.0
2015-10-07,69.83253403141362,0.01715928971962617,31.4,40.5,91,113,67,14,113,0.0
2015-10-08,88.49368062827226,0.02445664953271028,31.5,53.0,92,144,87,20,144,0.0
2015-10-09,82.84829842931937,0.025692308411214955,40.3,110.9,113,180,81,21,180,0.0
2015-10-10,53.782303664921464,0.025389219626168223,19.6,27.9,67,84,50,21,84,0.0
2015-10-11,31.511691099476444,0.029818929906542058,43.8,47.7,121,131,29,25,131,0.0
2015-10-12,45.187816753926704,0.027953789719626167,30.3,41.0,89,115,42,23,115,0.0
2015-10-13,41.0997277486911,0.02823356074766355,16.6,39.6,60,111,39,24,111,0.0
2015-10-14,41.61490052356021,0.028746471962616822,11.2,68.9,46,158,39,24,158,0.0
2015-10-15,48.46660732984293,0.02329093925233645,17.5,24.0,62,76,45,19,76,0.0
2015-10-16,39.87687434554974,0.02793047663551402,32.1,45.1,93,125,37,23,125,0.0
2015-10-17,36.25639267015707,0.029002929906542057,17.7,30.8,63,90,34,25,90,0.0
2015-10-18,35.831089005235604,0.025855504672897194,16.8,21.9,61,71,33,21,71,0.0
2015-10-19,49.19730890052356,0.023454140186915887,14.5,23.7,56,75,46,19,75,0.0
2015-10-20,75.6070837696335,0.025482476635514017,41.8,67.8,116,157,73,21,157,0.0
2015-10-21,102.1938376963351,0.019167647530040053,37.5,52.9,106,144,101,16,144,0.0
2015-10-22,94.69228272251308,0.03296635514018691,27.3,51.0,83,139,94,27,139,0.0
